"OldUrl","NewUrl","Action","StatusCode","Priority","Origin","Title","MetaDescription","Canonical","H1Count","Notes"
"/corporate-travel-agency-in-mumbai/","/corporate-travel-agency-in-mumbai/","KEEP-200","200","P0-CITY","REBUILT from pre-migration snapshot","Corporate Travel Agency in Mumbai | Mice Company In Mumbai","Welcome to HOV, your Trusted Corporate Travel Agency in Mumbai, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","https://houseofvacation.com/corporate-travel-agency-in-mumbai/","1","URL must never change - carries local search rankings"
"/corporate-travel-consultancy/","/corporate-travel-consultancy/","KEEP-200","200","P2-NEW","new static build","Corporate Travel Consultancy | House of Vacations","Travel programme consultancy for corporates - policy design, vendor negotiation and spend analysis to reduce your organisation's travel costs.","https://houseofvacation.com/corporate-travel-consultancy/","1",""
"/customized-group/","/customized-group/","KEEP-200","200","P2-NEW","new static build","Customised Group Tours for Corporates | House of Vacations","Tailor-made group travel for dealer groups, corporate cohorts and professional bodies, built around your objectives and budget.","https://houseofvacation.com/customized-group/","1",""
"/destination-management/","/destination-management/","KEEP-200","200","P2-NEW","new static build","Destination Management & Visa Assistance | House of Vacations","Destination management, visa and travel documentation support for corporate groups travelling within India and overseas.","https://houseofvacation.com/destination-management/","1",""
"/incentive/","/incentive/","KEEP-200","200","P2-NEW","new static build","Incentive Travel Programmes for Corporates | House of Vacations","Reward top performers with incentive travel programmes designed and delivered end-to-end, both in India and internationally.","https://houseofvacation.com/incentive/","1",""
"/mice-company-in-delhi/","/mice-company-in-delhi/","KEEP-200","200","P0-CITY","REBUILT from pre-migration snapshot","Mice Company In Delhi | Corporate Event Planner in Delhi","HOV is a leading MICE company in Delhi, specializing in corporate events, meetings, incentives, conferences, and exhibitions. Contact us today for your MICE !","https://houseofvacation.com/mice-company-in-delhi/","1","URL must never change - carries local search rankings"
"/mice-company-in-gurugram/","/mice-company-in-gurugram/","KEEP-200","200","P0-CITY","REBUILT from pre-migration snapshot","MICE Company in Gurugram| MICE Travel Agency in Gurugram","Welcome to House of Vacations, your Trusted MICE Company in Gurugram, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","https://houseofvacation.com/mice-company-in-gurugram/","1","URL must never change - carries local search rankings"
"/mice-company-in-noida/","/mice-company-in-noida/","KEEP-200","200","P0-CITY","REBUILT from pre-migration snapshot","Mice Company in Noida | Corporate Travel Agency in Noida","Welcome to HOV, your Trusted Mice Company in Noida, offering end-to-end solutions for corporate travel, events, and tours | Contact us Today","https://houseofvacation.com/mice-company-in-noida/","1","URL must never change - carries local search rankings"
"/mice-event/","/mice-event/","KEEP-200","200","P2-NEW","new static build","MICE Event Management Company in India | House of Vacations","Full-service MICE event management across India - venue sourcing, logistics, guest management and on-site execution for corporate events.","https://houseofvacation.com/mice-event/","1",""
"/offsite-events/","/offsite-events/","KEEP-200","200","P2-NEW","new static build","Corporate Offsite Event Planning in India | House of Vacations","Team offsites and leadership retreats organised end-to-end - destination, stay, transport, activities and facilitation.","https://houseofvacation.com/offsite-events/","1",""
"/our-services/","/our-services/","KEEP-200","200","P2-NEW","new static build","Our MICE & Corporate Travel Services | House of Vacations","End-to-end MICE services across India: meetings, incentives, conferences, exhibitions, offsites and corporate celebrations. Explore what we deliver.","https://houseofvacation.com/our-services/","1",""
"/category/uncategorized/","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Default WP category"
"/hello-world/","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WordPress sample post"
"/new-blog/","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Placeholder post"
"/author/*","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Author archive (was noindex)"
"/feed/","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WP RSS feed"
"/blog/feed/","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WP RSS feed"
"/comments/feed/","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WP comments feed"
"/category/uncategorized/feed/","/blog/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WP category feed"
"/index.php","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WP front controller"
"/wp-login.php","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WordPress login"
"/xmlrpc.php","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WordPress XML-RPC"
"/wp-admin/*","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WordPress admin"
"/wp-json/*","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WordPress REST API"
"/wp-includes/*","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WordPress core assets"
"/wp-content/* (NOT uploads)","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WP themes/plugins"
"/2024/","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Year archive"
"/2025/","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Year archive"
"/page/N/","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Homepage pagination duplicate"
"/sitemap_index.xml","/sitemap.xml","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Rank Math sitemap index"
"/wp-sitemap.xml","/sitemap.xml","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","WP core sitemap"
"/post-sitemap.xml","/sitemap.xml","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Rank Math child"
"/page-sitemap.xml","/sitemap.xml","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Rank Math child"
"/category-sitemap.xml","/sitemap.xml","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Rank Math child"
"http://* ","https://houseofvacation.com/*","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Force HTTPS - single hop"
"https://www.*","https://houseofvacation.com/*","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","www to non-www - single hop"
"/path (no slash)","/path/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Trailing slash via DirectorySlash"
"/*.html","/clean-folder-url/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Direct .html access"
"/index.html","/","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Duplicate entry point"
"/*?no-cache=*","clean URL","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Strip infinite param trap"
"/*?attachment_id=*","clean URL","REDIRECT-301","301","REDIRECT",".htaccess rule","","","","","Strip attachment param"
"/wp-content/uploads/*","/wp-content/uploads/*","NEVER-REDIRECT","200","P0-ASSET","legacy WP media","","","","","CRITICAL - 30 live images + all og:image URLs. Excluded in .htaccess rule 0. NOT YET STAGED."
"/assets/*","/assets/*","NEVER-REDIRECT","200","P0-ASSET","new site assets","","","","","946 files. Excluded in .htaccess rule 0."
"<any unknown URL>","/404.html","GENUINE-404","404","404","ErrorDocument","","","","","Real 404 status. Deliberately NOT redirected to homepage - avoids soft 404s."
